geneName,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04,log2 N2_d5_01,log2 N2_d5_02,log2 N2_d5_03,log2 N2_d5_04
"CELE_Y62E10A,13",13.6624,14.6705,13.0161,13.1788,10.7246,12.8939,13.1994,12.3652
cars-1,16.9482,16.9907,16.7258,16.8047,16.0288,16.0264,15.5569,15.6059
eps-8,13.2868,13.2943,13.4311,13.5574,14.1342,12.9341,13.6492,13.7203
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",16.7278,16.9222,16.7445,16.861,17.5171,16.5847,16.6106,16.7523
pezo-1,14.9797,14.1831,14.1785,14.1505,13.722,14.2385,14.3964,14.2946
twk-9,16.7245,16.8547,16.5382,17.0434,17.6586,18.4575,18.3246,17.916
epi-1,17.3778,17.2611,17.2211,17.2552,17.6514,17.3559,17.1822,17.7655
kdin-1,14.5667,14.1245,13.5735,13.8609,13.4012,12.9817,14.2163,13.4658
tag-273,16.9522,16.8906,16.8216,16.896,16.9615,16.9142,16.9885,17.2432
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",13.204,12.8146,12.8455,12.807,12.5762,12.6283,12.41,12.2389
pps-1,14.6654,14.5446,14.8951,14.5906,14.3474,14.1023,14.6768,15.287
cka-1,15.2113,15.2708,15.2935,14.6747,13.4878,14.1536,13.55,13.8556
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",13.5273,13.4948,13.3414,13.3991,13.343,14.7779,12.7744,13.8059
spp-18,16.4987,16.7147,17.2833,16.7405,15.0469,15.1157,15.7014,16.2875
lin-66,11.9923,11.9933,11.806,11.4557,14.0077,13.7704,14.3544,14.8973
"CELE_F09E10,7",13.584,13.4527,12.8148,13.6212,13.6093,13.9933,14.1876,13.6874
"CELE_F10C1,9",13.1674,12.9395,13.0649,12.9296,13.9452,13.0582,13.5171,14.1013
itx-1,15.392,15.4007,15.3164,15.3035,15.0756,14.6052,14.7545,15.1934
"CELE_Y41E3,7",14.8861,15.2158,14.6431,15.0318,14.5143,14.874,15.3494,14.2494
"CELE_Y105C5B,15",14.4415,14.4753,14.7231,14.8048,14.7875,14.7886,14.8223,15.2597
lim-9,13.5294,15.0585,14.5216,13.7324,14.2439,14.2245,14.3268,14.9832
"CELE_Y105E8A,25",13.9565,14.6444,14.1362,14.1668,12.7547,13.4247,12.9829,13.2754
pgp-2,14.7406,14.5345,14.7663,14.542,14.4009,14.1815,13.6723,14.6201
lpd-3,19.8249,18.7062,20.3346,16.7774,15.4549,16.4514,16.337,16.0881
tln-1,15.2793,14.4381,15.0734,14.2001,14.1918,13.9737,14.107,14.251
max-2,15.0382,14.7899,13.6586,14.2145,15.5204,14.5985,13.4376,14.1562
egl-27,14.4324,13.7939,13.9669,14.1113,12.576,13.1572,13.132,12.9809
cdc-14,11.9383,11.9019,11.7932,11.7711,11.472,11.1757,11.0624,11.6847
daf-16,14.4295,14.2156,13.8791,13.6415,14.585,14.0713,13.2523,14.1532
"CELE_T16H12,3;T16H12,3",15.5488,15.0549,14.68,14.8117,11.412,11.2337,10.9874,11.7267
lev-11,15.4347,15.3798,15.0622,15.2719,15.1948,14.4688,14.6904,15.4279
gld-2,13.6346,14.8193,13.2643,14.2192,11.3677,11.1951,11.1271,11.6101
ncl-1,13.1435,13.1674,13.0787,13.801,14.5409,15.7414,14.0072,14.7912
"CELE_D1069,3",12.2505,12.6677,13.2142,12.9798,13.2709,14.0571,14.3065,13.1438
lin-23,14.6408,14.4002,14.6111,13.9143,13.3327,12.299,12.7186,13.5858
"CELE_Y50D4B,1",12.0247,11.927,11.8877,11.8275,11.4711,11.1696,10.8206,11.7053
"CELE_Y39A1A,21",11.9399,12.0333,11.7241,11.8611,11.4521,11.2233,11.1725,11.7425
dre-1,20.2126,19.6131,18.8943,19.4377,17.0121,16.1905,15.7812,16.2351
gck-1,14.3773,14.2831,14.0127,14.5954,15.9078,15.5024,15.404,15.9773
gly-7,11.2755,15.1297,15.0505,14.4373,13.0441,13.3419,14.657,14.036
"CELE_F40A3,3;F40A3,3",18.3487,18.515,18.2594,18.3426,19.056,18.863,18.8798,18.9224
"CELE_Y50D4B,4",15.3412,15.5574,15.5704,15.3773,13.0729,14.5398,14.8538,14.1061
cdf-1,12.0563,11.899,12.0896,11.7262,11.2309,10.7954,11.1403,11.687
unc-34,11.9426,11.8636,11.7552,11.6065,15.7234,15.4259,16.9355,15.7449
tbh-1,16.7275,16.8248,16.8399,16.8284,16.5062,16.1452,16.3245,17.1621
lev-11,21.4624,21.8729,21.9365,22.0176,21.9299,22.0167,22.0209,21.2885
imp-3,13.9553,13.9725,13.8905,14.0618,8.93078,11.0402,10.6452,16.142
prdx-2,21.8293,21.9154,21.7058,21.7695,22.0854,22.1847,21.9447,21.9577
jhdm-1,14.1711,14.1869,13.9833,14.0792,15.3243,14.7986,14.6742,15.1245
mrck-1,11.8907,12.17,11.9556,13.6651,11.7395,13.5955,13.2878,12.1785
nhr-86,11.994,11.7847,11.651,11.8729,11.2685,11.0428,11.2468,11.4639
aat-3,13.2901,13.4854,12.9914,13.0669,12.9627,13.0532,12.2852,14.8411
"CELE_M02H5,8",19.4784,19.5861,19.6017,19.5462,19.1224,19.493,18.9658,18.9728
"CELE_T08B1,1",14.2144,13.8772,13.9616,14.0191,15.1187,14.4887,14.6688,14.6374
lipl-5,13.6179,13.7515,13.3196,13.5035,13.731,13.7747,12.2415,11.2462
fln-2,16.3692,16.3087,16.2015,16.2124,16.3907,16.6015,16.3384,16.6967
"C14C6,5",17.0053,17.1095,16.9841,17.0243,16.5878,15.9716,15.9966,16.4598
"CELE_T08B1,1",11.842,12.1194,12.1122,11.8781,11.3308,11.1458,11.2457,11.7057
